,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
7,0.7406880855560303,0.01186588965788953,0.04720624287923177,0.012437621894544084,mse,5,7,300,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 7, 'n_estimators': 300}",0.5005086989539753,0.5816665816046602,0.5783023294029197,0.5534925366538517,0.03749039735962943,1
6,0.5668188730875651,0.042629239687331656,0.02493151028951009,0.002935312206383833,mse,5,7,200,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 7, 'n_estimators': 200}",0.5005645110716279,0.5816901119127806,0.5781098121705976,0.5534548117183354,0.03742764186565235,2
9,1.2107610702514648,0.043034823805593425,0.06117018063863119,0.002351007413795125,mse,5,7,500,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 7, 'n_estimators': 500}",0.4997143752847122,0.5815551234839031,0.5780751875688706,0.5531148954458286,0.03778658627609835,3
8,0.9943459033966064,0.04088085100942919,0.06914599736531575,0.010628288045437743,mse,5,7,400,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 7, 'n_estimators': 400}",0.499520142856851,0.581755748078056,0.5773813546239414,0.5528857485196161,0.03777741591955139,4
12,0.7317104339599609,0.010311431366984238,0.037898619969685875,0.009391215615073858,mse,5,10,300,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 10, 'n_estimators': 300}",0.4975074097955885,0.5830578859564529,0.5772606384321735,0.5526086447280716,0.039034272018556256,5
14,1.3168139457702637,0.057727118984468875,0.07480279604593913,0.017750118929809797,mse,5,10,500,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 10, 'n_estimators': 500}",0.49655087677875687,0.5830676829753547,0.5773517981631759,0.5523234526390959,0.039506142968484224,6
5,0.21342833836873373,0.014128198609294934,0.019614219665527344,0.006530999439587935,mse,5,7,100,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 7, 'n_estimators': 100}",0.4996938506653653,0.5797848248152715,0.5766856362157445,0.5520547705654605,0.037046373570449896,7
13,0.9747264385223389,0.014934944310613072,0.05684812863667806,0.00373210432231258,mse,5,10,400,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 10, 'n_estimators': 400}",0.4962534869215196,0.5828251146719091,0.5765679548307736,0.551882185474734,0.039418287544088694,8
11,0.50897216796875,0.006581579611735596,0.030252536137898762,0.009080128289295436,mse,5,10,200,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 10, 'n_estimators': 200}",0.4952570244733828,0.5828061057049957,0.5769460132523547,0.5516697144769112,0.03996147199461007,9
10,0.28290994962056476,0.02323755824168808,0.010305643081665039,0.0004703589905164545,mse,5,10,100,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 10, 'n_estimators': 100}",0.4947238176559693,0.5817754914636679,0.5774113701208387,0.5513035597468253,0.04004757004758691,10
