,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_child_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
53,1.8503872553507488,0.03408833738053466,0.03723390897115072,0.009080163206537008,0.01,5,7,12,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 12, 'n_estimators': 500}",0.49603354480106954,0.5791026559955195,0.5797661538660672,0.5516341182208855,0.039316475603452444,1
109,1.8749878406524658,0.02881317029300943,0.036901632944742836,0.0029358242144946877,0.01,5,13,12,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 12, 'n_estimators': 500}",0.49603354480106954,0.5791026559955195,0.5797661538660672,0.5516341182208855,0.039316475603452444,1
81,1.8430731296539307,0.01700317792857196,0.0329123338063558,0.0016285921242489884,0.01,5,10,12,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 12, 'n_estimators': 500}",0.49603354480106954,0.5791026559955195,0.5797661538660672,0.5516341182208855,0.039316475603452444,1
25,1.9009188810984294,0.02411561192153607,0.04587745666503906,0.011744322648336547,0.01,5,auto,12,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 12, 'n_estimators': 500}",0.49603354480106954,0.5791026559955195,0.5797661538660672,0.5516341182208855,0.039316475603452444,1
553,0.4335072835286458,0.01910333813621048,0.009641011555989584,0.003761128566573618,0.05,5,13,12,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 12, 'n_estimators': 100}",0.4966585200186814,0.5790517505128903,0.5789067052467638,0.5515389919261118,0.038806399018022804,5
497,0.39993079503377277,0.004533406473522026,0.006316026051839192,0.00047013408649250444,0.05,5,7,12,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 12, 'n_estimators': 100}",0.4966585200186814,0.5790517505128903,0.5789067052467638,0.5515389919261118,0.038806399018022804,5
525,0.40491747856140137,0.013601530563415476,0.00997312863667806,0.0032577682523564134,0.05,5,10,12,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 12, 'n_estimators': 100}",0.4966585200186814,0.5790517505128903,0.5789067052467638,0.5515389919261118,0.038806399018022804,5
469,0.3966062863667806,0.007343908445952069,0.009640693664550781,0.004485205350702735,0.05,5,auto,12,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 12, 'n_estimators': 100}",0.4966585200186814,0.5790517505128903,0.5789067052467638,0.5515389919261118,0.038806399018022804,5
490,0.399597962697347,0.026164246336443778,0.01263268788655599,0.0087074018756437,0.05,5,7,11,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 11, 'n_estimators': 100}",0.4954409352219462,0.5770738928305708,0.578330605513384,0.5502818111886336,0.038781749051901404,9
462,0.4135603109995524,0.012728471075600172,0.006316979726155599,0.00047013408649250444,0.05,5,auto,11,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 11, 'n_estimators': 100}",0.4954409352219462,0.5770738928305708,0.578330605513384,0.5502818111886336,0.038781749051901404,9
518,0.4125632445017497,0.014574106503966918,0.007646004358927409,0.0004699654688748368,0.05,5,10,11,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 11, 'n_estimators': 100}",0.4954409352219462,0.5770738928305708,0.578330605513384,0.5502818111886336,0.038781749051901404,9
546,0.40358686447143555,0.012331457575819976,0.00797883669535319,1.1239159602905075e-07,0.05,5,13,11,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 11, 'n_estimators': 100}",0.4954409352219462,0.5770738928305708,0.578330605513384,0.5502818111886336,0.038781749051901404,9
448,0.4095713297526042,0.009438143847578014,0.012300570805867514,0.0075666047309478745,0.05,5,auto,8,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 8, 'n_estimators': 100}",0.49579551665363786,0.5752442504398115,0.5786412807445024,0.5498936826126507,0.038278310863284884,13
532,0.42852020263671875,0.023690333149935076,0.009308815002441406,0.004017366391356968,0.05,5,13,8,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 8, 'n_estimators': 100}",0.49579551665363786,0.5752442504398115,0.5786412807445024,0.5498936826126507,0.038278310863284884,13
476,0.4042523701985677,0.027905771046247346,0.006981213887532552,0.0014103459729989875,0.05,5,7,8,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 8, 'n_estimators': 100}",0.49579551665363786,0.5752442504398115,0.5786412807445024,0.5498936826126507,0.038278310863284884,13
504,0.4075770378112793,0.0065823502981404375,0.00731356938680013,0.00047013408649250444,0.05,5,10,8,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 8, 'n_estimators': 100}",0.49579551665363786,0.5752442504398115,0.5786412807445024,0.5498936826126507,0.038278310863284884,13
46,1.8696690400441487,0.00632502760112269,0.03390940030415853,0.005700364382786261,0.01,5,7,11,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 11, 'n_estimators': 500}",0.49465074350754845,0.5769815972511751,0.5775460030632196,0.5497261146073144,0.03894485002164699,17
18,1.8839641412099202,0.024032765289106674,0.03291193644205729,0.0035495458608674167,0.01,5,auto,11,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 11, 'n_estimators': 500}",0.49465074350754845,0.5769815972511751,0.5775460030632196,0.5497261146073144,0.03894485002164699,17
102,1.8663445313771565,0.015543033181060033,0.03324437141418457,0.004178535321999694,0.01,5,13,11,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 11, 'n_estimators': 500}",0.49465074350754845,0.5769815972511751,0.5775460030632196,0.5497261146073144,0.03894485002164699,17
74,1.8616901238759358,0.0073886042202577894,0.03922875722249349,0.005422040361673025,0.01,5,10,11,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 11, 'n_estimators': 500}",0.49465074350754845,0.5769815972511751,0.5775460030632196,0.5497261146073144,0.03894485002164699,17
95,1.8965970675150554,0.01645570314214888,0.039228598276774086,0.006829517052397475,0.01,5,13,9,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 9, 'n_estimators': 500}",0.49218967330905616,0.5776701803466209,0.5789674620081332,0.54960910522127,0.0406051236977827,21
39,1.8696688810984294,0.015712795138628336,0.03956111272176107,0.0004699093033197254,0.01,5,7,9,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 9, 'n_estimators': 500}",0.49218967330905616,0.5776701803466209,0.5789674620081332,0.54960910522127,0.0406051236977827,21
11,1.8567033608754475,0.034107681344475685,0.03823129336039225,0.004908435046807905,0.01,5,auto,9,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 9, 'n_estimators': 500}",0.49218967330905616,0.5776701803466209,0.5789674620081332,0.54960910522127,0.0406051236977827,21
67,1.8816367785135906,0.04044099914229247,0.031914710998535156,0.003549434211114802,0.01,5,10,9,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 9, 'n_estimators': 500}",0.49218967330905616,0.5776701803466209,0.5789674620081332,0.54960910522127,0.0406051236977827,21
4,1.8501590887705486,0.04238872039422303,0.03445887565612793,0.01354118021143247,0.01,5,auto,8,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 8, 'n_estimators': 500}",0.4926949285423824,0.5765928185474554,0.5784004284439821,0.5492293918446066,0.03998271308984596,25
32,1.9009188810984294,0.024713037248585843,0.04321821530659994,0.004098688316490756,0.01,5,7,8,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 8, 'n_estimators': 500}",0.4926949285423824,0.5765928185474554,0.5784004284439821,0.5492293918446066,0.03998271308984596,25
88,1.9002536137898762,0.0032911069121599975,0.036901394526163735,0.0077683688373979525,0.01,5,13,8,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 8, 'n_estimators': 500}",0.4926949285423824,0.5765928185474554,0.5784004284439821,0.5492293918446066,0.03998271308984596,25
60,1.8849613666534424,0.044332923254915765,0.03989307085673014,0.012160652446434352,0.01,5,10,8,500,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 8, 'n_estimators': 500}",0.4926949285423824,0.5765928185474554,0.5784004284439821,0.5492293918446066,0.03998271308984596,25
539,0.40691200892130536,0.003731275947033518,0.005983670552571614,2.9736021254650284e-07,0.05,5,13,9,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 9, 'n_estimators': 100}",0.493288521954681,0.5753896520085922,0.5753811353210471,0.54801976976144,0.03870083662314589,29
455,0.40724436442057294,0.015328388204721391,0.007646242777506511,0.0016952327778590114,0.05,5,auto,9,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 9, 'n_estimators': 100}",0.493288521954681,0.5753896520085922,0.5753811353210471,0.54801976976144,0.03870083662314589,29
483,0.40857426325480145,0.019310608235862742,0.006981690724690755,4.899036091938795e-07,0.05,5,7,9,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 9, 'n_estimators': 100}",0.493288521954681,0.5753896520085922,0.5753811353210471,0.54801976976144,0.03870083662314589,29
511,0.4152238368988037,0.021019627234113974,0.007313172022501628,0.0018811545425030506,0.05,5,10,9,100,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 9, 'n_estimators': 100}",0.493288521954681,0.5753896520085922,0.5753811353210471,0.54801976976144,0.03870083662314589,29
54,2.562816301981608,0.018805867616060075,0.05119673411051432,0.005235564621959416,0.01,5,7,12,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 12, 'n_estimators': 700}",0.49856958103794036,0.5773596267417297,0.5606258121769174,0.5455183399855291,0.033893407544943806,33
82,2.6123505433400473,0.04358175643677963,0.05418896675109863,0.01251902115013923,0.01,5,10,12,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 12, 'n_estimators': 700}",0.49856958103794036,0.5773596267417297,0.5606258121769174,0.5455183399855291,0.033893407544943806,33
110,2.577443758646647,0.015132406339171369,0.04920180638631185,0.002617595588127089,0.01,5,13,12,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 12, 'n_estimators': 700}",0.49856958103794036,0.5773596267417297,0.5606258121769174,0.5455183399855291,0.033893407544943806,33
26,2.759955962498983,0.012223679724845999,0.04920236269632975,0.0030832264859030466,0.01,5,auto,12,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 12, 'n_estimators': 700}",0.49856958103794036,0.5773596267417297,0.5606258121769174,0.5455183399855291,0.033893407544943806,33
80,1.5099639097849529,0.03305778767208658,0.02892279624938965,0.0037316370318251925,0.01,5,10,12,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 12, 'n_estimators': 400}",0.4732558481644439,0.5627424620676547,0.599885084345285,0.5452944648591278,0.053148002903071714,37
52,1.4870251814524333,0.021172086749780345,0.03257973988850912,0.002049369935346548,0.01,5,7,12,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 12, 'n_estimators': 400}",0.4732558481644439,0.5627424620676547,0.599885084345285,0.5452944648591278,0.053148002903071714,37
108,1.4903494517008464,0.031011694933912065,0.026595671971638996,0.003760959977920125,0.01,5,13,12,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 12, 'n_estimators': 400}",0.4732558481644439,0.5627424620676547,0.599885084345285,0.5452944648591278,0.053148002903071714,37
24,1.4946714242299397,0.021611507502422585,0.03490654627482096,0.011313136839929905,0.01,5,auto,12,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 12, 'n_estimators': 400}",0.4732558481644439,0.5627424620676547,0.599885084345285,0.5452944648591278,0.053148002903071714,37
59,1.482370138168335,0.02418864379931112,0.02892279624938965,0.004309144024700177,0.01,5,10,8,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 8, 'n_estimators': 400}",0.47268220496068347,0.5629931976231658,0.5999914430682167,0.545222281884022,0.05347126712254573,41
31,1.509630839029948,0.03005672017006884,0.022273858388264973,0.0009404366848100524,0.01,5,7,8,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 8, 'n_estimators': 400}",0.47268220496068347,0.5629931976231658,0.5999914430682167,0.545222281884022,0.05347126712254573,41
87,1.5192721684773762,0.0009404366848100523,0.02925531069437663,0.005719630769274266,0.01,5,13,8,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 8, 'n_estimators': 400}",0.47268220496068347,0.5629931976231658,0.5999914430682167,0.545222281884022,0.05347126712254573,41
3,1.471732536951701,0.024717726749343694,0.0202789306640625,0.0004703588293815774,0.01,5,auto,8,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 8, 'n_estimators': 400}",0.47268220496068347,0.5629931976231658,0.5999914430682167,0.545222281884022,0.05347126712254573,41
66,1.5152829488118489,0.01480068405451186,0.02593072255452474,0.00776817497309842,0.01,5,10,9,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 9, 'n_estimators': 400}",0.4721946336198505,0.5632715027463628,0.5990632224296912,0.5448431195986349,0.05340795000577918,45
38,1.4843653043111165,0.007909389907089816,0.03158251444498698,0.008033673836885394,0.01,5,7,9,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 9, 'n_estimators': 400}",0.4721946336198505,0.5632715027463628,0.5990632224296912,0.5448431195986349,0.05340795000577918,45
10,1.4810407161712646,0.036995349680939274,0.03490718205769857,0.011400130860170308,0.01,5,auto,9,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 9, 'n_estimators': 400}",0.4721946336198505,0.5632715027463628,0.5990632224296912,0.5448431195986349,0.05340795000577918,45
94,1.5445377826690674,0.04147688095160116,0.025931040445963543,0.002821253870385608,0.01,5,13,9,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 9, 'n_estimators': 400}",0.4721946336198505,0.5632715027463628,0.5990632224296912,0.5448431195986349,0.05340795000577918,45
130,2.3091607093811035,0.010375353888934796,0.053191582361857094,0.005777593206064434,0.01,7,auto,11,500,"{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 'auto', 'min_child_weight': 11, 'n_estimators': 500}",0.4919192147011229,0.5710332004470925,0.570987307167143,0.5446465741051195,0.03728387809618661,49
